Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,NOAA,162.550000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,1.0W,,,,,
1,ISS,145.800000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
2,CU 2m,146.760000,-,0.600000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
3,CU 70cm,444.100000,-,5.000000,TSQL,162.2,162.2,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
4,CU MTD,453.775000,,0.000000,TSQL,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
5,Savoy,151.010000,,0.000000,DTCS,88.5,88.5,205,NN,205,Tone->Tone,FM,5.00,,5.0W,,,,,
27,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,S,1.0W,,,,,
56,,435.745000,+,5.448000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,5.0W,,,,,
